name,year,rating,actors
In the Name of the Father,1993,8.1,"Jim Sheridan (dir.), Daniel Day-Lewis, Pete Postlethwaite"
Rush,2013,8.1,"Ron Howard (dir.), Daniel Brühl, Chris Hemsworth"
Stand by Me,1986,8.1,"Rob Reiner (dir.), Wil Wheaton, River Phoenix"
A Wednesday,2008,8.1,"Neeraj Pandey (dir.), Anupam Kher, Naseeruddin Shah"
Thor: Ragnarok,2017,8.1,"Taika Waititi (dir.), Chris Hemsworth, Tom Hiddleston"
Ben-Hur,1959,8.1,"William Wyler (dir.), Charlton Heston, Jack Hawkins"
Persona,1966,8.1,"Ingmar Bergman (dir.), Bibi Andersson, Liv Ullmann"
The Grand Budapest Hotel,2014,8.1,"Wes Anderson (dir.), Ralph Fiennes, F. Murray Abraham"
The 400 Blows,1959,8.1,"François Truffaut (dir.), Jean-Pierre Léaud, Albert Rémy"
Memories of Murder,2003,8.1,"Joon-ho Bong (dir.), Kang-ho Song, Sang-kyung Kim"
Jurassic Park,1993,8.1,"Steven Spielberg (dir.), Sam Neill, Laura Dern"
12 Years a Slave,2013,8.1,"Steve McQueen (dir.), Chiwetel Ejiofor, Michael Kenneth Williams"
Mad Max: Fury Road,2015,8.1,"George Miller (dir.), Tom Hardy, Charlize Theron"
Million Dollar Baby,2004,8.1,"Clint Eastwood (dir.), Hilary Swank, Clint Eastwood"
Spotlight,2015,8.1,"Tom McCarthy (dir.), Mark Ruffalo, Michael Keaton"
Stalker,1979,8.1,"Andrei Tarkovsky (dir.), Alisa Freyndlikh, Aleksandr Kaydanovskiy"
The Truman Show,1998,8.1,"Peter Weir (dir.), Jim Carrey, Ed Harris"
Amores Perros,2000,8.1,"Alejandro González Iñárritu (dir.), Emilio Echevarría, Gael García Bernal"
Butch Cassidy and the Sundance Kid,1969,8.1,"George Roy Hill (dir.), Paul Newman, Robert Redford"
Hachi: A Dog's Tale,2009,8.1,"Lasse Hallström (dir.), Richard Gere, Joan Allen"
Nausicaä of the Valley of the Wind,1984,8.1,"Hayao Miyazaki (dir.), Sumi Shimamoto, Mahito Tsujimura"
The Princess Bride,1987,8.1,"Rob Reiner (dir.), Cary Elwes, Mandy Patinkin"
Before Sunrise,1995,8.1,"Richard Linklater (dir.), Ethan Hawke, Julie Delpy"
The Maltese Falcon,1941,8.1,"John Huston (dir.), Humphrey Bogart, Mary Astor"
Paper Moon,1973,8.0,"Peter Bogdanovich (dir.), Ryan O'Neal, Tatum O'Neal"
The Nights of Cabiria,1957,8.0,"Federico Fellini (dir.), Giulietta Masina, François Périer"
Prisoners,2013,8.0,"Denis Villeneuve (dir.), Hugh Jackman, Jake Gyllenhaal"
Harry Potter and the Deathly Hallows: Part 2,2011,8.0,"David Yates (dir.), Daniel Radcliffe, Emma Watson"
The Grapes of Wrath,1940,8.0,"John Ford (dir.), Henry Fonda, Jane Darwell"
Rocky,1976,8.0,"John G. Avildsen (dir.), Sylvester Stallone, Talia Shire"
Catch Me If You Can,2002,8.0,"Steven Spielberg (dir.), Leonardo DiCaprio, Tom Hanks"
Touch of Evil,1958,8.0,"Orson Welles (dir.), Charlton Heston, Orson Welles"
Diabolique,1955,8.0,"Henri-Georges Clouzot (dir.), Simone Signoret, Véra Clouzot"
Gandhi,1982,8.0,"Richard Attenborough (dir.), Ben Kingsley, John Gielgud"
"Monsters, Inc.",2001,8.0,"Pete Docter (dir.), Billy Crystal, John Goodman"
Donnie Darko,2001,8.0,"Richard Kelly (dir.), Jake Gyllenhaal, Jena Malone"
Barry Lyndon,1975,8.0,"Stanley Kubrick (dir.), Ryan O'Neal, Marisa Berenson"
Annie Hall,1977,8.0,"Woody Allen (dir.), Woody Allen, Diane Keaton"
The Terminator,1984,8.0,"James Cameron (dir.), Arnold Schwarzenegger, Linda Hamilton"
Star Wars: The Force Awakens,2015,8.0,"J.J. Abrams (dir.), Daisy Ridley, John Boyega"
The Bourne Ultimatum,2007,8.0,"Paul Greengrass (dir.), Matt Damon, Edgar Ramírez"
